CODE,YEAR,ANTIGEN_CODE,COVERAGE_CATEGORY,TARGET_NUMBER,DOSES,COVERAGE
ABW,2023,BCG,ADMIN,,,
ABW,2023,BCG,OFFICIAL,,,
ABW,2023,DIPHCV4,ADMIN,1044.0,945.0,90.52
ABW,2023,DIPHCV4,OFFICIAL,,,90.52
ABW,2023,DIPHCV5,ADMIN,1219.0,1008.0,82.69
ABW,2023,DIPHCV5,OFFICIAL,,,82.69
ABW,2023,DIPHCV6,ADMIN,1468.0,1219.0,83.04
ABW,2023,DIPHCV6,OFFICIAL,,,83.04
ABW,2023,DTPCV1,ADMIN,945.0,926.0,97.99
ABW,2023,DTPCV1,OFFICIAL,,,97.99
ABW,2023,DTPCV3,ADMIN,945.0,907.0,95.98
ABW,2023,DTPCV3,OFFICIAL,,,95.98
ABW,2023,FLU_ALL,ADMIN,,,
ABW,2023,FLU_CHILD1,ADMIN,,,
ABW,2023,FLU_CHILD2,ADMIN,,,
ABW,2023,FLU_CHRONIC_ADULT,ADMIN,,,
ABW,2023,FLU_CHRONIC_PED,ADMIN,,,
ABW,2023,FLU_ELDERLY,ADMIN,,,
ABW,2023,FLU_HCW,ADMIN,,,
ABW,2023,FLU_OTHER,ADMIN,,,
ABW,2023,FLU_PW,ADMIN,,,
ABW,2023,FLU_RESIDENT,ADMIN,,,
ABW,2023,HEPB_BD,ADMIN,,,
ABW,2023,HEPB_BD,OFFICIAL,,,
ABW,2023,HEPB_BDALL,ADMIN,,,
ABW,2023,HEPB_BDALL,OFFICIAL,,,
ABW,2023,HEPB3,ADMIN,945.0,896.0,94.81
ABW,2023,HEPB3,OFFICIAL,,,94.81
ABW,2023,HIB3,ADMIN,945.0,907.0,95.98
ABW,2023,HIB3,OFFICIAL,,,95.98
ABW,2023,HPV_FEM,ADMIN,693.0,442.0,63.78
ABW,2023,HPV_FEM,OFFICIAL,,,63.78
ABW,2023,HPV_MALE,ADMIN,,,
ABW,2023,HPV_MALE,OFFICIAL,,,
ABW,2023,IPV1,ADMIN,945.0,926.0,97.99
ABW,2023,IPV1,OFFICIAL,,,97.99
ABW,2023,IPV1_FRAC,ADMIN,,,
ABW,2023,IPV1_FRAC,OFFICIAL,,,
ABW,2023,IPV2,ADMIN,945.0,918.0,97.14
ABW,2023,IPV2,OFFICIAL,,,97.14
ABW,2023,IPV2_FRAC,ADMIN,,,
ABW,2023,IPV2_FRAC,OFFICIAL,,,
ABW,2023,MCV1,ADMIN,1044.0,973.0,93.2
ABW,2023,MCV1,OFFICIAL,,,93.2
ABW,2023,MCV2,ADMIN,1219.0,989.0,81.13
ABW,2023,MCV2,OFFICIAL,,,81.13
ABW,2023,MENACYW_C,ADMIN,,,
ABW,2023,MENACYW_C,OFFICIAL,,,
ABW,2023,MENB_C,ADMIN,,,
ABW,2023,MENB_C,OFFICIAL,,,
ABW,2023,PAB,ADMIN,,,
ABW,2023,PCV1,ADMIN,945.0,927.0,98.1
ABW,2023,PCV1,OFFICIAL,,,98.1
ABW,2023,PCV2,ADMIN,945.0,916.0,96.93
ABW,2023,PCV2,OFFICIAL,,,96.93
ABW,2023,PCV3,ADMIN,1044.0,953.0,91.28
ABW,2023,PCV3,OFFICIAL,,,91.28
ABW,2023,PERCV_PW,ADMIN,945.0,8.0,0.85
ABW,2023,PERCV_PW,OFFICIAL,,,
ABW,2023,PERCV4,ADMIN,1044.0,945.0,90.52
ABW,2023,PERCV4,OFFICIAL,,,90.52
ABW,2023,POL3,ADMIN,945.0,907.0,95.98
ABW,2023,POL3,OFFICIAL,,,95.98
ABW,2023,RCV1,ADMIN,1044.0,973.0,93.2
ABW,2023,RCV1,OFFICIAL,,,93.2
ABW,2023,ROTA1,ADMIN,,,
ABW,2023,ROTA1,OFFICIAL,,,
ABW,2023,ROTAC,ADMIN,,,
ABW,2023,ROTAC,OFFICIAL,,,
ABW,2023,TT2PLUS,ADMIN,,,
ABW,2023,TT2PLUS,OFFICIAL,,,
ABW,2023,TTCV4,ADMIN,1044.0,945.0,90.52
ABW,2023,TTCV4,OFFICIAL,,,90.52
ABW,2023,TTCV5,ADMIN,1219.0,1008.0,82.69
ABW,2023,TTCV5,OFFICIAL,,,82.69
ABW,2023,TTCV6,ADMIN,1468.0,1219.0,83.04
ABW,2023,TTCV6,OFFICIAL,,,83.04
ABW,2023,TYPHOID_CONJ,ADMIN,,,
ABW,2023,TYPHOID_CONJ,OFFICIAL,,,
ABW,2023,VAD1,ADMIN,,,
ABW,2023,VAD1,OFFICIAL,,,
ABW,2023,YFV,ADMIN,,,
ABW,2023,YFV,OFFICIAL,,,
ABW,2022,BCG,ADMIN,,,
ABW,2022,BCG,OFFICIAL,,,
ABW,2022,DIPHCV4,ADMIN,1022.0,892.0,87.28
ABW,2022,DIPHCV4,OFFICIAL,,,87.28
ABW,2022,DIPHCV5,ADMIN,1296.0,1092.0,84.26
ABW,2022,DIPHCV5,OFFICIAL,,,84.26
ABW,2022,DIPHCV6,ADMIN,1434.0,1151.0,80.26
ABW,2022,DIPHCV6,OFFICIAL,,,80.26
ABW,2022,DTPCV1,ADMIN,1028.0,999.0,97.18
ABW,2022,DTPCV1,OFFICIAL,,,97.18
ABW,2022,DTPCV3,ADMIN,1028.0,967.0,94.07
ABW,2022,DTPCV3,OFFICIAL,,,94.07
ABW,2022,FLU_ALL,ADMIN,,,
ABW,2022,FLU_CHILD1,ADMIN,,,
ABW,2022,FLU_CHILD2,ADMIN,,,
ABW,2022,FLU_CHRONIC_ADULT,ADMIN,,,
ABW,2022,FLU_CHRONIC_ALL,ADMIN,,,
