CODE,YEAR,DISEASE_CODE,DENOMINATOR,INCIDENCE_RATE
ABW,2023,CRS,"per 10,000 live births",0.0
ABW,2023,DIPHTHERIA,"per 1,000,000 total population",0.0
ABW,2023,INVASIVE_MENING,"per 1,000,000 total population",9.3
ABW,2023,MEASLES,"per 1,000,000 total population",
ABW,2023,MUMPS,"per 1,000,000 total population",0.0
ABW,2023,NTETANUS,"per 1,000 live births",0.0
ABW,2023,PERTUSSIS,"per 1,000,000 total population",9.3
ABW,2023,POLIO,"per 1,000,000 <15 population",0.0
ABW,2023,RUBELLA,"per 1,000,000 total population",
ABW,2023,TTETANUS,"per 1,000,000 total population",0.0
ABW,2023,TYPHOID,"per 1,000,000 total population",0.0
ABW,2023,YFEVER,"per 1,000,000 total population",0.0
ABW,2022,CRS,"per 10,000 live births",0.0
ABW,2022,DIPHTHERIA,"per 1,000,000 total population",0.0
ABW,2022,INVASIVE_MENING,"per 1,000,000 total population",18.6
ABW,2022,MEASLES,"per 1,000,000 total population",0.0
ABW,2022,MUMPS,"per 1,000,000 total population",18.6
ABW,2022,NTETANUS,"per 1,000 live births",0.0
ABW,2022,PERTUSSIS,"per 1,000,000 total population",0.0
ABW,2022,POLIO,"per 1,000,000 <15 population",0.0
ABW,2022,RUBELLA,"per 1,000,000 total population",0.0
ABW,2022,TTETANUS,"per 1,000,000 total population",0.0
ABW,2022,TYPHOID,"per 1,000,000 total population",0.0
ABW,2022,YFEVER,"per 1,000,000 total population",0.0
ABW,2021,CRS,"per 10,000 live births",0.0
ABW,2021,DIPHTHERIA,"per 1,000,000 total population",0.0
ABW,2021,INVASIVE_MENING,"per 1,000,000 total population",0.0
ABW,2021,MEASLES,"per 1,000,000 total population",0.0
ABW,2021,MUMPS,"per 1,000,000 total population",0.0
ABW,2021,NTETANUS,"per 1,000 live births",0.0
ABW,2021,PERTUSSIS,"per 1,000,000 total population",0.0
ABW,2021,POLIO,"per 1,000,000 <15 population",0.0
ABW,2021,RUBELLA,"per 1,000,000 total population",0.0
ABW,2021,TTETANUS,"per 1,000,000 total population",0.0
ABW,2021,TYPHOID,"per 1,000,000 total population",0.0
ABW,2021,YFEVER,"per 1,000,000 total population",0.0
ABW,2019,CRS,"per 10,000 live births",0.0
ABW,2019,DIPHTHERIA,"per 1,000,000 total population",0.0
ABW,2019,JAPENC,"per 1,000,000 total population",
ABW,2019,MEASLES,"per 1,000,000 total population",9.3
ABW,2019,MUMPS,"per 1,000,000 total population",9.3
ABW,2019,NTETANUS,"per 1,000 live births",0.0
ABW,2019,PERTUSSIS,"per 1,000,000 total population",0.0
ABW,2019,POLIO,"per 1,000,000 <15 population",0.0
ABW,2019,RUBELLA,"per 1,000,000 total population",0.0
ABW,2019,TYPHOID,"per 1,000,000 total population",0.0
ABW,2019,YFEVER,"per 1,000,000 total population",0.0
ABW,2018,CRS,"per 10,000 live births",0.0
ABW,2018,DIPHTHERIA,"per 1,000,000 total population",0.0
ABW,2018,JAPENC,"per 1,000,000 total population",
ABW,2018,MEASLES,"per 1,000,000 total population",0.0
ABW,2018,MUMPS,"per 1,000,000 total population",47.0
ABW,2018,NTETANUS,"per 1,000 live births",0.0
ABW,2018,PERTUSSIS,"per 1,000,000 total population",9.4
ABW,2018,POLIO,"per 1,000,000 <15 population",0.0
ABW,2018,RUBELLA,"per 1,000,000 total population",0.0
ABW,2018,TTETANUS,"per 1,000,000 total population",0.0
ABW,2018,TYPHOID,"per 1,000,000 total population",0.0
ABW,2018,YFEVER,"per 1,000,000 total population",0.0
ABW,2017,CRS,"per 10,000 live births",0.0
ABW,2017,DIPHTHERIA,"per 1,000,000 total population",0.0
