CODE,YEAR,DISEASE_CODE,CASES
ABW,2023,CRS,0.0
ABW,2023,DIPHTHERIA,0.0
ABW,2023,INVASIVE_MENING,1.0
ABW,2023,MEASLES,
ABW,2023,MUMPS,0.0
ABW,2023,NTETANUS,0.0
ABW,2023,PERTUSSIS,1.0
ABW,2023,POLIO,0.0
ABW,2023,RUBELLA,
ABW,2023,TTETANUS,0.0
ABW,2023,TYPHOID,0.0
ABW,2023,YFEVER,0.0
ABW,2022,CRS,0.0
ABW,2022,DIPHTHERIA,0.0
ABW,2022,INVASIVE_MENING,2.0
ABW,2022,MEASLES,0.0
ABW,2022,MUMPS,2.0
ABW,2022,NTETANUS,0.0
ABW,2022,PERTUSSIS,0.0
ABW,2022,POLIO,0.0
ABW,2022,RUBELLA,0.0
ABW,2022,TTETANUS,0.0
ABW,2022,TYPHOID,0.0
ABW,2022,YFEVER,0.0
ABW,2021,CRS,0.0
ABW,2021,DIPHTHERIA,0.0
ABW,2021,INVASIVE_MENING,0.0
ABW,2021,MEASLES,0.0
ABW,2021,MUMPS,0.0
ABW,2021,NTETANUS,0.0
ABW,2021,PERTUSSIS,0.0
ABW,2021,POLIO,0.0
ABW,2021,RUBELLA,0.0
ABW,2021,TTETANUS,0.0
ABW,2021,TYPHOID,0.0
ABW,2021,YFEVER,0.0
ABW,2019,CRS,0.0
ABW,2019,DIPHTHERIA,0.0
ABW,2019,JAPENC,
ABW,2019,MEASLES,1.0
ABW,2019,MUMPS,1.0
ABW,2019,NTETANUS,0.0
ABW,2019,PERTUSSIS,0.0
ABW,2019,POLIO,0.0
ABW,2019,RUBELLA,0.0
ABW,2019,TYPHOID,0.0
ABW,2019,YFEVER,0.0
ABW,2018,CRS,0.0
ABW,2018,DIPHTHERIA,0.0
ABW,2018,JAPENC,
ABW,2018,MEASLES,0.0
ABW,2018,MUMPS,5.0
ABW,2018,NTETANUS,0.0
ABW,2018,PERTUSSIS,1.0
ABW,2018,POLIO,0.0
ABW,2018,RUBELLA,0.0
ABW,2018,TTETANUS,0.0
ABW,2018,TYPHOID,0.0
ABW,2018,YFEVER,0.0
ABW,2017,CRS,0.0
ABW,2017,DIPHTHERIA,0.0
ABW,2017,MEASLES,0.0
ABW,2017,MUMPS,1.0
ABW,2017,NTETANUS,0.0
ABW,2017,PERTUSSIS,1.0
ABW,2017,RUBELLA,0.0
ABW,2017,YFEVER,0.0
AFG,2023,CRS,594.0
AFG,2023,DIPHTHERIA,61.0
AFG,2023,INVASIVE_MENING,
AFG,2023,JAPENC,
AFG,2023,MEASLES,2792.0
AFG,2023,MUMPS,
AFG,2023,NTETANUS,31.0
AFG,2023,PERTUSSIS,1531.0
AFG,2023,POLIO,6.0
AFG,2023,RUBELLA,444.0
AFG,2023,TTETANUS,87.0
AFG,2023,TYPHOID,
AFG,2023,YFEVER,
AFG,2022,CRS,803.0
AFG,2022,DIPHTHERIA,50.0
AFG,2022,INVASIVE_MENING,
AFG,2022,JAPENC,
AFG,2022,MEASLES,5166.0
AFG,2022,MUMPS,
AFG,2022,NTETANUS,20.0
AFG,2022,PERTUSSIS,331.0
AFG,2022,POLIO,
AFG,2022,RUBELLA,195.0
AFG,2022,TTETANUS,48.0
AFG,2022,TYPHOID,0.0
AFG,2022,YFEVER,
AFG,2021,CRS,54.0
AFG,2021,DIPHTHERIA,61.0
AFG,2021,INVASIVE_MENING,
AFG,2021,JAPENC,
AFG,2021,MEASLES,2900.0
AFG,2021,MUMPS,
AFG,2021,NTETANUS,3030.0
AFG,2021,PERTUSSIS,108.0
AFG,2021,POLIO,43.0
AFG,2021,RUBELLA,46.0
AFG,2021,TTETANUS,3070.0
AFG,2021,TYPHOID,
AFG,2021,YFEVER,
AFG,2020,CRS,649.0
AFG,2020,DIPHTHERIA,
AFG,2020,INVASIVE_MENING,161.0
AFG,2020,JAPENC,
AFG,2020,MEASLES,640.0
AFG,2020,MUMPS,
AFG,2020,NTETANUS,70.0
AFG,2020,PERTUSSIS,
AFG,2020,POLIO,308.0
AFG,2020,RUBELLA,23.0
AFG,2020,TTETANUS,70.0
AFG,2020,TYPHOID,
AFG,2020,YFEVER,
AFG,2019,CRS,
AFG,2019,DIPHTHERIA,
AFG,2019,JAPENC,
AFG,2019,MEASLES,353.0
AFG,2019,MUMPS,
AFG,2019,NTETANUS,20.0
AFG,2019,PERTUSSIS,
AFG,2019,POLIO,0.0
AFG,2019,RUBELLA,59.0
AFG,2019,TTETANUS,
AFG,2019,TYPHOID,
AFG,2019,YFEVER,
AFG,2018,CRS,
AFG,2018,DIPHTHERIA,3.0
AFG,2018,JAPENC,
AFG,2018,MEASLES,2012.0
AFG,2018,MUMPS,
AFG,2018,NTETANUS,53.0
AFG,2018,PERTUSSIS,488.0
AFG,2018,POLIO,21.0
AFG,2018,RUBELLA,37.0
AFG,2018,TTETANUS,53.0
AFG,2018,TYPHOID,
AFG,2018,YFEVER,
AFG,2017,CRS,
AFG,2017,DIPHTHERIA,1.0
AFG,2017,JAPENC,
AFG,2017,MEASLES,1511.0
AFG,2017,MUMPS,
AFG,2017,NTETANUS,
AFG,2017,PERTUSSIS,1.0
AFG,2017,POLIO,14.0
AFG,2017,RUBELLA,53.0
AFG,2017,TTETANUS,
AFG,2017,YFEVER,
AFG,2016,CRS,
AFG,2016,DIPHTHERIA,
AFG,2016,JAPENC,
AFG,2016,MEASLES,638.0
AFG,2016,MUMPS,29.0
AFG,2016,NTETANUS,4.0
AFG,2016,PERTUSSIS,0.0
AFG,2016,POLIO,13.0
AFG,2016,RUBELLA,42.0
AFG,2016,TTETANUS,37.0
AFG,2016,YFEVER,
AFG,2015,CRS,0.0
AFG,2015,DIPHTHERIA,0.0
AFG,2015,JAPENC,0.0
AFG,2015,MEASLES,1154.0
AFG,2015,MUMPS,
AFG,2015,NTETANUS,12.0
AFG,2015,PERTUSSIS,432.0
AFG,2015,POLIO,20.0
AFG,2015,RUBELLA,59.0
AFG,2015,TTETANUS,74.0
AFG,2015,YFEVER,0.0
AFG,2014,CRS,0.0
AFG,2014,DIPHTHERIA,0.0
AFG,2014,JAPENC,
AFG,2014,MEASLES,492.0
AFG,2014,MUMPS,0.0
AFG,2014,NTETANUS,17.0
AFG,2014,PERTUSSIS,0.0
AFG,2014,POLIO,28.0
AFG,2014,RUBELLA,43.0
AFG,2014,TTETANUS,39.0
AFG,2014,YFEVER,
AFG,2013,CRS,0.0
AFG,2013,DIPHTHERIA,0.0
AFG,2013,JAPENC,0.0
AFG,2013,MEASLES,430.0
AFG,2013,MUMPS,0.0
AFG,2013,NTETANUS,13.0
AFG,2013,PERTUSSIS,371.0
AFG,2013,POLIO,17.0
AFG,2013,RUBELLA,367.0
AFG,2013,TTETANUS,24.0
AFG,2013,YFEVER,0.0
AFG,2012,CRS,
AFG,2012,DIPHTHERIA,0.0
AFG,2012,JAPENC,
AFG,2012,MEASLES,2787.0
AFG,2012,MUMPS,
AFG,2012,NTETANUS,21.0
AFG,2012,PERTUSSIS,1497.0
AFG,2012,POLIO,46.0
AFG,2012,RUBELLA,
AFG,2012,TTETANUS,37.0
AFG,2012,YFEVER,
AFG,2011,CRS,
AFG,2011,DIPHTHERIA,0.0
AFG,2011,JAPENC,
AFG,2011,MEASLES,3013.0
AFG,2011,MUMPS,
AFG,2011,NTETANUS,20.0
AFG,2011,PERTUSSIS,0.0
AFG,2011,POLIO,81.0
AFG,2011,RUBELLA,750.0
AFG,2011,TTETANUS,20.0
AFG,2011,YFEVER,
AFG,2010,CRS,0.0
AFG,2010,DIPHTHERIA,0.0
AFG,2010,JAPENC,0.0
AFG,2010,MEASLES,1989.0
AFG,2010,MUMPS,0.0
AFG,2010,NTETANUS,23.0
AFG,2010,PERTUSSIS,0.0
AFG,2010,POLIO,30.0
AFG,2010,RUBELLA,46.0
AFG,2010,TTETANUS,23.0
AFG,2010,YFEVER,0.0
AFG,2009,CRS,
AFG,2009,DIPHTHERIA,0.0
AFG,2009,JAPENC,
AFG,2009,MEASLES,2861.0
AFG,2009,MUMPS,
AFG,2009,NTETANUS,
AFG,2009,PERTUSSIS,0.0
AFG,2009,POLIO,38.0
AFG,2009,RUBELLA,501.0
AFG,2009,TTETANUS,19.0
AFG,2009,YFEVER,
AFG,2008,CRS,
AFG,2008,DIPHTHERIA,0.0
AFG,2008,JAPENC,
AFG,2008,MEASLES,1599.0
AFG,2008,MUMPS,
AFG,2008,NTETANUS,12.0
AFG,2008,PERTUSSIS,2448.0
AFG,2008,POLIO,31.0
AFG,2008,RUBELLA,415.0
AFG,2008,TTETANUS,57.0
AFG,2008,YFEVER,
AFG,2007,CRS,
AFG,2007,DIPHTHERIA,104.0
AFG,2007,JAPENC,
AFG,2007,MEASLES,1141.0
AFG,2007,MUMPS,
AFG,2007,NTETANUS,40.0
AFG,2007,PERTUSSIS,5904.0
AFG,2007,POLIO,17.0
AFG,2007,RUBELLA,152.0
AFG,2007,TTETANUS,71.0
AFG,2007,YFEVER,
AFG,2006,CRS,
AFG,2006,DIPHTHERIA,53.0
AFG,2006,JAPENC,
AFG,2006,MEASLES,1990.0
AFG,2006,MUMPS,
AFG,2006,NTETANUS,33.0
AFG,2006,PERTUSSIS,2515.0
AFG,2006,POLIO,31.0
AFG,2006,RUBELLA,196.0
AFG,2006,TTETANUS,43.0
AFG,2006,YFEVER,
AFG,2005,CRS,
AFG,2005,DIPHTHERIA,179.0
AFG,2005,MEASLES,1296.0
AFG,2005,MUMPS,
AFG,2005,NTETANUS,39.0
AFG,2005,PERTUSSIS,2173.0
AFG,2005,POLIO,9.0
AFG,2005,RUBELLA,
AFG,2005,TTETANUS,
AFG,2005,YFEVER,
AFG,2004,CRS,
AFG,2004,DIPHTHERIA,26.0
AFG,2004,MEASLES,466.0
AFG,2004,MUMPS,
AFG,2004,NTETANUS,81.0
AFG,2004,PERTUSSIS,558.0
AFG,2004,POLIO,4.0
AFG,2004,RUBELLA,
AFG,2004,TTETANUS,81.0
AFG,2004,YFEVER,
AFG,2003,CRS,
AFG,2003,DIPHTHERIA,79.0
AFG,2003,MEASLES,798.0
AFG,2003,MUMPS,
AFG,2003,NTETANUS,121.0
AFG,2003,PERTUSSIS,
AFG,2003,POLIO,8.0
AFG,2003,RUBELLA,
AFG,2003,TTETANUS,121.0
AFG,2003,YFEVER,
AFG,2002,CRS,
AFG,2002,DIPHTHERIA,854.0
AFG,2002,MEASLES,2486.0
AFG,2002,MUMPS,
AFG,2002,NTETANUS,595.0
AFG,2002,PERTUSSIS,1439.0
AFG,2002,POLIO,10.0
AFG,2002,RUBELLA,
AFG,2002,TTETANUS,975.0
AFG,2002,YFEVER,
AFG,2001,CRS,
AFG,2001,DIPHTHERIA,
AFG,2001,MEASLES,8762.0
AFG,2001,MUMPS,
AFG,2001,NTETANUS,211.0
AFG,2001,PERTUSSIS,
AFG,2001,POLIO,11.0
AFG,2001,RUBELLA,
AFG,2001,TTETANUS,
AFG,2001,YFEVER,
AFG,2000,CRS,
AFG,2000,DIPHTHERIA,84.0
AFG,2000,MEASLES,6532.0
AFG,2000,MUMPS,
AFG,2000,NTETANUS,139.0
AFG,2000,PERTUSSIS,896.0
AFG,2000,POLIO,120.0
AFG,2000,RUBELLA,
AFG,2000,TTETANUS,
AFG,2000,YFEVER,
AFG,1999,CRS,
AFG,1999,DIPHTHERIA,297.0
AFG,1999,MEASLES,3609.0
