CODE,YEAR,VACCINE_DESCRIPTION,INTRO
AFG,2023,aP (acellular pertussis) vaccine,No
AFG,2023,Hepatitis A vaccine,No
AFG,2023,Hepatitis B vaccine,Yes
AFG,2023,HepB birth dose,Yes
AFG,2023,Hib (Haemophilus influenzae type B) vaccine,Yes
AFG,2023,HPV (Human Papilloma Virus) vaccine,No
AFG,2023,IPV (Inactivated polio vaccine),Yes
AFG,2023,IPV (Inactivated polio vaccine) 2nd dose,Yes
AFG,2023,Japanese Encephalitis,No
AFG,2023,Malaria vaccine,No
AFG,2023,Measles-containing vaccine 2nd dose,Yes
AFG,2023,Meningococcal meningitis vaccines (all strains),No
AFG,2023,Mumps vaccine,No
AFG,2023,PCV (Pneumococcal conjugate vaccine),Yes
AFG,2023,PPV (Pneumococcal polysaccharide vaccine),No
AFG,2023,Rotavirus vaccine,Yes
AFG,2023,Rubella vaccine,No
AFG,2023,Seasonal Influenza vaccine,No
AFG,2023,Typhoid,No
AFG,2023,Varicella vaccine,No
AFG,2023,YF (Yellow fever) vaccine,No
AFG,2022,aP (acellular pertussis) vaccine,No
AFG,2022,Hepatitis A vaccine,No
AFG,2022,Hepatitis B vaccine,Yes
AFG,2022,HepB birth dose,Yes
AFG,2022,Hib (Haemophilus influenzae type B) vaccine,Yes
AFG,2022,HPV (Human Papilloma Virus) vaccine,No
AFG,2022,IPV (Inactivated polio vaccine),Yes
AFG,2022,IPV (Inactivated polio vaccine) 2nd dose,Yes
AFG,2022,Japanese Encephalitis,No
AFG,2022,Malaria vaccine,No
AFG,2022,Measles-containing vaccine 2nd dose,Yes
AFG,2022,Meningococcal meningitis vaccines (all strains),No
AFG,2022,Mumps vaccine,No
AFG,2022,PCV (Pneumococcal conjugate vaccine),Yes
AFG,2022,PPV (Pneumococcal polysaccharide vaccine),No
AFG,2022,Rotavirus vaccine,Yes
AFG,2022,Rubella vaccine,No
AFG,2022,Seasonal Influenza vaccine,No
AFG,2022,Typhoid,No
AFG,2022,Varicella vaccine,No
AFG,2022,YF (Yellow fever) vaccine,No
AFG,2021,aP (acellular pertussis) vaccine,No
AFG,2021,Hepatitis A vaccine,No
AFG,2021,Hepatitis B vaccine,Yes
AFG,2021,HepB birth dose,Yes
AFG,2021,Hib (Haemophilus influenzae type B) vaccine,Yes
AFG,2021,HPV (Human Papilloma Virus) vaccine,No
AFG,2021,IPV (Inactivated polio vaccine),Yes
AFG,2021,IPV (Inactivated polio vaccine) 2nd dose,Yes
AFG,2021,Japanese Encephalitis,No
AFG,2021,Malaria vaccine,No
AFG,2021,Measles-containing vaccine 2nd dose,Yes
AFG,2021,Meningococcal meningitis vaccines (all strains),No
AFG,2021,Mumps vaccine,No
AFG,2021,PCV (Pneumococcal conjugate vaccine),Yes
AFG,2021,PPV (Pneumococcal polysaccharide vaccine),No
AFG,2021,Rotavirus vaccine,Yes
AFG,2021,Rubella vaccine,No
AFG,2021,Seasonal Influenza vaccine,No
AFG,2021,Typhoid,No
AFG,2021,Varicella vaccine,No
AFG,2021,YF (Yellow fever) vaccine,No
AFG,2020,aP (acellular pertussis) vaccine,No
AFG,2020,Hepatitis A vaccine,No
AFG,2020,Hepatitis B vaccine,Yes
AFG,2020,HepB birth dose,Yes
AFG,2020,Hib (Haemophilus influenzae type B) vaccine,Yes
AFG,2020,HPV (Human Papilloma Virus) vaccine,No
AFG,2020,IPV (Inactivated polio vaccine),Yes
AFG,2020,IPV (Inactivated polio vaccine) 2nd dose,Yes
AFG,2020,Japanese Encephalitis,No
AFG,2020,Malaria vaccine,No
AFG,2020,Measles-containing vaccine 2nd dose,Yes
AFG,2020,Meningococcal meningitis vaccines (all strains),No
AFG,2020,Mumps vaccine,No
AFG,2020,PCV (Pneumococcal conjugate vaccine),Yes
AFG,2020,PPV (Pneumococcal polysaccharide vaccine),No
AFG,2020,Rotavirus vaccine,Yes
AFG,2020,Rubella vaccine,No
AFG,2020,Seasonal Influenza vaccine,No
