CODE,YEAR,ANTIGEN_CODE,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,SOURCECOMMENT
ABW,2023,DTAPHIBIPV,1,,General/routine,NATIONAL,M2,
ABW,2023,DTAPHIBIPV,2,,General/routine,NATIONAL,M4,
ABW,2023,DTAPHIBIPV,3,,General/routine,NATIONAL,M6,
ABW,2023,DTAPHIBIPV,4,B_2YL_W,General/routine,NATIONAL,M15,
ABW,2023,DTAPIPV,5,B_CHILD_W,General/routine,NATIONAL,Y4,
ABW,2023,DTAPIPV,6,,General/routine,NATIONAL,Y10,
ABW,2023,DTAPIPV,1,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,2023,DTAPIPV,2,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,2023,DTAPIPV,3,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,2023,HEPA_ADULT,1,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ABW,2023,HEPA_ADULT,2,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,2023,HEPA_PEDIATRIC,1,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ABW,2023,HEPA_PEDIATRIC,2,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,2023,HEPB_ADULT,1,HW,Health workers,NATIONAL,1st contact,healthcare workers
ABW,2023,HEPB_ADULT,3,HW,Health workers,NATIONAL,+M5,healthcare workers
ABW,2023,HEPB_ADULT,2,HW,Health workers,NATIONAL,+M1,healthcare workers
ABW,2023,HEPB_ADULT,3,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,2023,HEPB_ADULT,2,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,2023,HEPB_ADULT,1,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,2023,HEPB_PEDIATRIC,1,,General/routine,NATIONAL,M1,
ABW,2023,HEPB_PEDIATRIC,2,,General/routine,NATIONAL,M3,
ABW,2023,HEPB_PEDIATRIC,3,,General/routine,NATIONAL,M9,
ABW,2023,HPV4,1,FEMALE,HPV for females only,NATIONAL,Y11,females only; grade 6 primary schools
ABW,2023,HPV4,2,FEMALE,HPV for females only,NATIONAL,+M6,females only; grade 6 primary schools
ABW,2023,INFLUENZA_ADULT,1,ADULTS,Adults,NATIONAL,,Older persons
ABW,2023,INFLUENZA_ADULT,1,HW,Health workers,NATIONAL,1st contact,Health and care workers
ABW,2023,INFLUENZA_ADULT,1,PW,Pregnant women,NATIONAL,1st contact,Pregnant women
ABW,2023,INFLUENZA_ADULT,1,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Adults with chronic conditions, residents living in long-term care facilities"
ABW,2023,INFLUENZA_PEDIATRIC,1,RISKGROUPS,Risk group(s),NATIONAL,,Children living with long-term care facilities
ABW,2023,MEN_ACYW_135CONJ,1,TRAVELLERS,Travellers,NATIONAL,1st contact,students travelling abroad
ABW,2023,MMR,1,,General/routine,NATIONAL,M12,
ABW,2023,MMR,2,,General/routine,NATIONAL,Y4,
ABW,2023,PCV13,1,,General/routine,NATIONAL,M2,
ABW,2023,PCV13,2,,General/routine,NATIONAL,M4,
ABW,2023,PCV13,3,,General/routine,NATIONAL,M12,
ABW,2023,VARICELLA,1,RISKGROUPS,Risk group(s),NATIONAL,>=Y1,upon request
ABW,2023,YF,1,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers to specific countries
AFG,2023,BCG,1,,General/routine,NATIONAL,B,0-11 months
AFG,2023,DTWPHIBHEPB,1,,General/routine,NATIONAL,W6,0-11 months
AFG,2023,DTWPHIBHEPB,2,,General/routine,NATIONAL,W10,0-11 months
AFG,2023,DTWPHIBHEPB,3,,General/routine,NATIONAL,W14,0-11 months
